"","Site_code","Month","Year","ppt_pA","tmin_pA","tmax_pA","tavg_pA","vpdmin_pA","vpdmax_pA","Month","ppt_pM","tmin_pM","tmax_pM","tavg_pM","vpdmin_pM","vpdmax_pM","ppt_cA","tmin_cA","tmax_cA","tavg_cA","cmd_cA","ppt_cM","tmin_cM","tmax_cM","tavg_cM","cmd_cM"
"310","DC 2",10,2012,2092.9736328,7.8460002,19.9900017,13.9170008,3.9470003,18.835001,10,86.6470032,8.9910002,21.4589996,15.2240009,3.4690001,18.5170002,2100,5.4,25.3,14.7,733,94,8.6,23.3,16,0
"311","DC 2",11,2012,2092.9736328,7.8460002,19.9900017,13.9170008,3.9470003,18.835001,11,347.1749878,5.3439999,15.3800001,10.3610001,1.056,9.6359997,2100,5.4,25.3,14.7,733,331,5.3,16.6,11,0
"312","DC 2",12,2012,2092.9736328,7.8460002,19.9900017,13.9170008,3.9470003,18.835001,12,500.2754822,1.923,8.9569998,5.4390001,0.567,4.8860002,2100,5.4,25.3,14.7,733,445,0.7,10.1,5.4,0
"313","DC 2",1,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,1,40.6780014,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,547,6.3,25.3,14.8,743,65,-0.1,12.7,6.3,0
"314","DC 2",2,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,2,23.7380009,1.198,12.802,6.9990005,1.79,10.0059996,547,6.3,25.3,14.8,743,67,0.6,14.6,7.6,0
"315","DC 2",3,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,3,97.9169998,4.7880001,16.4689999,10.6280003,1.74,12.151,547,6.3,25.3,14.8,743,115,4.6,18.1,11.3,0
"316","DC 2",4,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,4,47.1780014,7.1149998,19.4540005,13.2840004,3.1329999,16.1709995,547,6.3,25.3,14.8,743,73,6.7,21.3,14,38
"317","DC 2",5,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,5,28.632,10.1210003,22.0230007,16.0720005,3.9909999,19.1110001,547,6.3,25.3,14.8,743,38,9.2,23.7,16.4,103
"318","DC 2",6,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,6,54.5680008,13.2089996,27.1800003,20.1940002,4.362,26.1849995,547,6.3,25.3,14.8,743,41,13.2,29,21.1,128
"319","DC 2",7,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,7,0,16.2810001,32.1430016,24.2120018,11.9350004,38.5060005,547,6.3,25.3,14.8,743,1,17,33.5,25.3,192
"320","DC 2",8,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,8,2.303,14.316,29.5349998,21.9250011,7.2719998,32.6609993,547,6.3,25.3,14.8,743,3,14.8,31.1,22.9,160
"321","DC 2",9,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,9,59.3930016,11.8990002,25.2460003,18.5720005,5.3639998,24.0680008,547,6.3,25.3,14.8,743,59,12,27,19.5,55
"322","DC 2",10,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,10,15.6610003,7.1409998,21.1919994,14.1650009,4.243,19.7000008,547,6.3,25.3,14.8,743,18,6.6,22.8,14.7,63
"323","DC 2",11,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,11,44.2980003,5.7319999,16.3419991,11.0360003,3.7,13.4239998,547,6.3,25.3,14.8,743,43,4.7,18.6,11.7,4
"324","DC 2",12,2013,441.6890259,7.6550002,20.5290012,14.0910006,4.2990003,19.276001,12,27.323,0.557,12.0459995,6.3000002,3.1670001,10.5839996,547,6.3,25.3,14.8,743,24,0,14.5,7.2,13
"325","DC 2",1,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,1,43.8769989,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,1636,7.6,25.7,15.7,733,55,4.1,18.1,11.1,0
"326","DC 2",2,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,2,400.5559998,3.7839999,12.1899996,7.9860005,0.997,7.5749998,1636,7.6,25.7,15.7,733,397,3.6,14.1,8.8,0
"327","DC 2",3,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,3,259.9179993,5.4419999,15.4989996,10.4700003,2.204,11.4040003,1636,7.6,25.7,15.7,733,260,4.9,16.9,10.9,0
"328","DC 2",4,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,4,87.9380035,6.4260001,18.5799999,12.5030003,2.546,15.0930004,1636,7.6,25.7,15.7,733,125,6,20.3,13.1,0
"329","DC 2",5,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,5,19.6380005,10.3190002,23.3789997,16.8480015,4.9720001,22.5240002,1636,7.6,25.7,15.7,733,35,9.3,24.5,16.9,111
"330","DC 2",6,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,6,0,14.198,27.9120007,21.0540009,8.5480003,30.8700008,1636,7.6,25.7,15.7,733,2,12.7,29.7,21.2,173
"331","DC 2",7,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,7,0,18.4939995,32.0610008,25.2770004,10.717,37.8810005,1636,7.6,25.7,15.7,733,3,17.7,33.7,25.7,189
"332","DC 2",8,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,8,3.0450001,17.3309994,29.7749996,23.552002,9.2629995,32.4449997,1636,7.6,25.7,15.7,733,14,16,31.2,23.6,146
"333","DC 2",9,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,9,37.0340004,13.6820002,27.7900009,20.7360001,6.9390001,29.3390007,1636,7.6,25.7,15.7,733,44,13.5,29.4,21.5,80
"334","DC 2",10,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,10,50.2039986,10.8149996,22.8859997,16.8490009,5.4000001,21.2240009,1636,7.6,25.7,15.7,733,62,9.4,24.6,17,21
"335","DC 2",11,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,11,144.8760071,5.71,14.9790001,10.3440008,1.933,10.3839998,1636,7.6,25.7,15.7,733,192,4.9,17.1,11,0
"336","DC 2",12,2014,1470.8291016,9.5910006,20.9200001,15.2550011,4.8920002,19.7700005,12,423.743988,4.0669999,9.7620001,6.9140005,0.313,4.1529999,1636,7.6,25.7,15.7,733,447,3.4,11.8,7.6,0
"337","DC 2",1,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,1,1.456,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,931,5.2,23.8,15.6,875,0,4,16.6,10.3,42
"338","DC 2",2,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,2,189.5319977,5.7090001,16.7789993,11.243001,1.993,12.0220003,931,5.2,23.8,15.6,875,193,5.5,18,11.7,0
"339","DC 2",3,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,3,28.2070007,5.677,18.9659996,12.3210011,1.875,14.3280001,931,5.2,23.8,15.6,875,23,6.3,20.5,13.4,66
"340","DC 2",4,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,4,82.9800034,5.9330001,18.4640007,12.1980009,2.5350001,14.8959999,931,5.2,23.8,15.6,875,124,5.5,20,12.8,0
"341","DC 2",5,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,5,9.948,8.6960001,20.9899998,14.842001,2.76,16.7269993,931,5.2,23.8,15.6,875,14,8.4,22.2,15.3,119
"342","DC 2",6,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,6,7.4489999,14.6260004,29.5849991,22.1050014,9.0480003,33.1100006,931,5.2,23.8,15.6,875,17,14.7,31.1,22.9,164
"343","DC 2",7,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,7,2.2609999,17.3549995,30.1280003,23.7410011,9.21,32.9889984,931,5.2,23.8,15.6,875,7,16.3,31.3,23.8,170
"344","DC 2",8,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,8,0,16.75,30.6469994,23.6980019,9.9700003,36.0429993,931,5.2,23.8,15.6,875,2,15.3,32.2,23.8,167
"345","DC 2",9,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,9,2.691,14.8400002,28.3479996,21.5940018,9.9759998,32.9850006,931,5.2,23.8,15.6,875,13,13.6,29.7,21.7,112
"346","DC 2",10,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,10,27.1420002,12.1529999,23.698,17.9250011,5.3410001,21.5489998,931,5.2,23.8,15.6,875,50,10.5,25.4,18,35
"347","DC 2",11,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,11,132.7200012,2.4400001,12.3620005,7.4010005,1.493,8.5629997,931,5.2,23.8,15.6,875,185,1.8,14.2,8,0
"348","DC 2",12,2015,837.8790283,9.1010008,21.0220013,15.0610008,4.7420001,19.8220005,12,353.493988,0.247,7.4260001,3.8360002,0.224,3.6270001,931,5.2,23.8,15.6,875,304,0.4,10,5.2,0
"349","DC 2",1,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,1,431.0209961,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,1950,6.3,24.1,14.9,737,406,2.2,11.1,6.7,0
"350","DC 2",2,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,2,53.1310005,2.3440001,17.0419998,9.6920004,1.304,13.6120005,1950,6.3,24.1,14.9,737,108,4.2,17.5,10.8,0
"351","DC 2",3,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,3,468.3129883,3.112,14.4069996,8.7580004,0.371,8.7069998,1950,6.3,24.1,14.9,737,461,4.5,15.4,10,0
"352","DC 2",4,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,4,67.8040009,7.4590001,18.6369991,13.0470009,2.527,13.7880001,1950,6.3,24.1,14.9,737,111,6.7,20.3,13.5,0
"353","DC 2",5,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,5,44.3639984,9.3950005,21.5720005,15.4830008,2.888,17.507,1950,6.3,24.1,14.9,737,55,9.1,22.7,15.9,79
"354","DC 2",6,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,6,1.515,14.9219999,28.0760002,21.4980011,8.4130001,30.7110004,1950,6.3,24.1,14.9,737,3,13.2,29.9,21.5,172
"355","DC 2",7,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,7,0,14.8739996,31.0359993,22.9540005,11.6689997,38.1349983,1950,6.3,24.1,14.9,737,1,15.5,32.5,24,189
"356","DC 2",8,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,8,0,14.3319998,30.1609993,22.2450008,11.46,35.3849983,1950,6.3,24.1,14.9,737,1,15.3,32.9,24.1,173
"357","DC 2",9,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,9,0.628,12.0740004,28.0170002,20.0450001,6.776,31.0450001,1950,6.3,24.1,14.9,737,1,12.3,29.2,20.8,124
"358","DC 2",10,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,10,306.5599976,7.9720001,19.1569996,13.5640011,1.962,14.2620001,1950,6.3,24.1,14.9,737,293,8.1,20,14.1,0
"359","DC 2",11,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,11,182.4490051,4.5120001,15.6639996,10.0870008,0.99,10.2840004,1950,6.3,24.1,14.9,737,180,4.9,16.6,10.7,0
"360","DC 2",12,2016,1864.1900635,7.8470006,20.2840004,14.0650005,4.1100001,18.6620007,12,308.4060059,0.593,9.6040001,5.098,0.578,5.5900002,1950,6.3,24.1,14.9,737,329,0.9,11.8,6.3,0
"361","DC 2",1,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,1,177.3712921,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,1459,6,26.4,15.2,892,215,2,13,7.5,0
"362","DC 2",2,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,2,96.0713959,1.8902999,12.8260994,7.3580999,1.2099,9.4384995,1459,6,26.4,15.2,892,137,1.5,14,7.7,0
"363","DC 2",3,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,3,101.3370972,1.7302999,13.0987997,7.4144998,1.4528999,10.3549995,1459,6,26.4,15.2,892,165,1.7,15,8.3,0
"364","DC 2",4,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,4,10.4954996,4.3987999,20.6516991,12.5251999,2.9224999,18.8924999,1459,6,26.4,15.2,892,34,5.8,21.5,13.7,80
"365","DC 2",5,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,5,1.3521999,9.5763998,23.8347988,16.7054996,4.1041999,23.4734993,1459,6,26.4,15.2,892,4,9.2,25.4,17.3,149
"366","DC 2",6,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,6,1.7893,16.0655003,31.1171989,23.5912991,7.8525996,38.4473,1459,6,26.4,15.2,892,3,14.2,31.4,22.8,182
"367","DC 2",7,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,7,0,17.6989994,33.581398,25.6400986,11.8622999,44.6483002,1459,6,26.4,15.2,892,1,18.1,34.7,26.4,198
"368","DC 2",8,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,8,0,16.7687988,31.2086983,23.988699,9.8034,36.8956985,1459,6,26.4,15.2,892,1,16.4,33.3,24.9,173
"369","DC 2",9,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,9,19.7803993,15.1760998,29.8379993,22.507,7.7749,35.8976974,1459,6,26.4,15.2,892,21,13.7,31,22.4,110
"370","DC 2",10,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,10,371.9990845,8.2059994,18.7397995,13.4727993,3.2393999,15.0913992,1459,6,26.4,15.2,892,310,7,20.1,13.6,0
"371","DC 2",11,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,11,65.2092972,6.9889998,15.9389,11.4638996,1.8161,10.0015001,1459,6,26.4,15.2,892,90,5.7,18.2,12,0
"372","DC 2",12,2021,1276.8496094,8.6490002,21.0403004,14.8445997,4.5704999,21.5261002,12,431.4441833,2.5114,10.0852995,6.2982998,1.3076005,6.7782998,1459,6,26.4,15.2,892,479,1.3,10.8,6,0
"373","DC 2",1,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,1,28.7340984,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,1160,5.6,25.6,15.1,823,22,2.2,15.3,8.7,18
"374","DC 2",2,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,2,6.1268001,2.9262998,15.7609997,9.3435993,3.5090997,14.4765997,1160,5.6,25.6,15.1,823,10,1.9,16.7,9.3,43
"375","DC 2",3,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,3,37.1767998,4.4900999,17.4380989,10.9639997,1.8565997,13.8203993,1160,5.6,25.6,15.1,823,83,4.2,18.3,11.2,0
"376","DC 2",4,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,4,168.4444885,5.6127,17.2736988,11.4431,2.22,14.1740999,1160,5.6,25.6,15.1,823,203,4.7,18.3,11.5,0
"377","DC 2",5,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,5,5.5604997,8.7663002,22.049099,15.4075994,4.5591998,21.300499,1160,5.6,25.6,15.1,823,29,7.6,23.1,15.3,111
"378","DC 2",6,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,6,24.9506989,13.9984999,27.9685993,20.9834995,7.5062003,30.8181,1160,5.6,25.6,15.1,823,37,13.1,28.6,20.8,130
"379","DC 2",7,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,7,0,15.6175995,32.5942993,24.1058998,10.0879993,41.1809006,1160,5.6,25.6,15.1,823,1,16.5,33,24.7,190
"380","DC 2",8,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,8,4.2145,18.3230991,33.2723007,25.7975998,11.0127993,41.9800987,1160,5.6,25.6,15.1,823,5,17.1,34.1,25.6,173
"381","DC 2",9,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,9,38.5956993,15.8987999,29.8467999,22.8726997,9.1336012,35.8787003,1160,5.6,25.6,15.1,823,57,15,30.6,22.8,69
"382","DC 2",10,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,10,0,12.2132998,25.4485989,18.8309002,7.4905005,26.4005985,1160,5.6,25.6,15.1,823,1,10.2,26.5,18.3,89
"383","DC 2",11,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,11,125.5513,2.8392999,12.6613998,7.7502999,2.6788003,9.7066994,1160,5.6,25.6,15.1,823,190,1.3,14,7.7,0
"384","DC 2",12,2022,921.4229736,8.7958002,21.4521999,15.1239996,5.2368999,22.1085987,12,482.0681763,2.1136999,9.9990997,6.0562997,0.7249,5.4182,1160,5.6,25.6,15.1,823,522,0.6,10.5,5.6,0
"385","DC 13",1,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,1,120.1320038,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,1300,6.5,25.8,14.7,798,128,4.6,15.7,10.2,0
"386","DC 13",2,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,2,94.2389984,0.852,12.6140003,6.7320004,0.993,8.1300001,1300,6.5,25.8,14.7,798,97,1,13.8,7.4,0
"387","DC 13",3,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,3,160.5119934,2.3699999,14.8900003,8.6290007,0.884,9.5439997,1300,6.5,25.8,14.7,798,160,3.5,16.8,10.1,0
"388","DC 13",4,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,4,298.4890137,2.0929999,11.6700001,6.8810005,0.51,6.421,1300,6.5,25.8,14.7,798,262,2.5,13.4,7.9,0
"389","DC 13",5,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,5,70.6610031,7.5339999,20.7059994,14.1190004,2.448,16.3850002,1300,6.5,25.8,14.7,798,64,7.9,22.7,15.3,73
"390","DC 13",6,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,6,0,13.0670004,27.8990002,20.4830017,4.1900001,25.6889992,1300,6.5,25.8,14.7,798,1,12.5,29.7,21.1,175
"391","DC 13",7,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,7,0,16.5100002,32.5960007,24.5530014,8.5469999,37.2280006,1300,6.5,25.8,14.7,798,1,17,34.7,25.8,201
"392","DC 13",8,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,8,45.6910019,14.2340002,28.8439999,21.5390015,4.9959998,27.927,1300,6.5,25.8,14.7,798,25,14.7,30.9,22.8,137
"393","DC 13",9,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,9,4.7459998,14.0310001,29.6159992,21.8230019,7.8530002,33.1949997,1300,6.5,25.8,14.7,798,4,13.9,31.5,22.7,130
"394","DC 13",10,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,10,6.402,10.4569998,25.7329998,18.0940018,6.3740001,25.8349991,1300,6.5,25.8,14.7,798,12,9.7,27.5,18.6,82
"395","DC 13",11,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,11,127.6259995,1.89,10.9910002,6.4400005,0.793,6.4679999,1300,6.5,25.8,14.7,798,130,1.8,13.4,7.6,0
"396","DC 13",12,2003,1414.2770996,7.3890004,19.8310013,13.6090002,3.2540002,17.3630009,12,485.7789917,1.7,8.4280005,5.0640001,0.527,4.039,1300,6.5,25.8,14.7,798,415,1.9,11.1,6.5,0
"397","DC 13",1,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,1,182.7839966,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,1197,6.3,24.1,14.6,893,153,0.8,11.7,6.3,0
"398","DC 13",2,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,2,347.8569946,1,9.901,5.4500003,0.696,NA,1197,6.3,24.1,14.6,893,353,1.2,11.6,6.4,0
"399","DC 13",3,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,3,59.1879997,5.4860001,19.6949997,12.5900002,2.4519999,NA,1197,6.3,24.1,14.6,893,51,6,20.8,13.4,40
"400","DC 13",4,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,4,34.5229988,5.71,19.3840008,12.5470009,2.6459999,NA,1197,6.3,24.1,14.6,893,25,6.4,20.7,13.5,84
"401","DC 13",5,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,5,23.6709995,7.7930002,22.1310005,14.9620008,2.4159999,NA,1197,6.3,24.1,14.6,893,19,8.1,23.5,15.8,124
"402","DC 13",6,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,6,4.4489999,12.6669998,27.4669991,20.0660019,4.9840002,NA,1197,6.3,24.1,14.6,893,2,12.2,29.1,20.7,171
"403","DC 13",7,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,7,2.3069999,15.2469997,30.8729992,23.0590019,7.1009998,NA,1197,6.3,24.1,14.6,893,1,15.5,32.7,24.1,190
"404","DC 13",8,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,8,0,14.8219995,30.4549999,22.6380005,8.1920004,NA,1197,6.3,24.1,14.6,893,1,15.1,32.4,23.7,170
"405","DC 13",9,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,9,8.9560003,11.6619997,27.4169998,19.5390015,7.381,NA,1197,6.3,24.1,14.6,893,13,11.9,29.4,20.7,114
"406","DC 13",10,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,10,206.8249969,7.5409999,19.0170002,13.2780008,3.4189999,NA,1197,6.3,24.1,14.6,893,180,7,21.1,14,0
"407","DC 13",11,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,11,104.5139999,2.279,12.7609997,7.5190005,0.814,NA,1197,6.3,24.1,14.6,893,104,2.8,15.3,9,0
"408","DC 13",12,2004,1287.4720459,7.2070003,19.9410019,13.5730009,3.5330002,18.4080009,12,312.3989868,1.841,10.7089996,6.2740002,1.727,NA,1197,6.3,24.1,14.6,893,295,2.1,13.3,7.7,0
"409","DC 13",1,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,1,269.4570007,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,1620,7,25.8,14.4,628,243,2,12,7,0
"410","DC 13",2,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,2,152.3159943,3.3800001,12.4020004,7.8910003,1.28,7.3010001,1620,7,25.8,14.4,628,144,3.4,14.3,8.9,0
"411","DC 13",3,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,3,327.2799988,3.3110001,15.052,9.1810007,1.615,10.908,1620,7,25.8,14.4,628,260,4,16.5,10.3,0
"412","DC 13",4,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,4,108.9339981,3.0109999,15.6309996,9.3200006,1.007,10.9099998,1620,7,25.8,14.4,628,92,3.9,17.6,10.7,5
"413","DC 13",5,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,5,233.6360016,8.0120001,19.5839996,13.7970009,1.674,13.6269999,1620,7,25.8,14.4,628,138,8.3,21.1,14.7,0
"414","DC 13",6,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,6,56.362999,9.3929996,23.559,16.4750004,2.0150001,19.0970001,1620,7,25.8,14.4,628,49,9.7,24.7,17.2,100
"415","DC 13",7,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,7,0,16.927,32.3919983,24.6590004,6.5929999,35.1549988,1620,7,25.8,14.4,628,1,17.2,34.5,25.8,200
"416","DC 13",8,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,8,0,15.5220003,31.6060009,23.5640011,8.7410002,37.3380013,1620,7,25.8,14.4,628,2,16,33.6,24.8,175
"417","DC 13",9,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,9,16.3630009,10.4169998,25.5410004,17.9780006,4.98,25.1609993,1620,7,25.8,14.4,628,16,10.7,27.5,19.1,104
"418","DC 13",10,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,10,35.2010002,7.7220001,20.6760006,14.1990004,2.6289999,16.6009998,1620,7,25.8,14.4,628,36,7.6,23,15.3,44
"419","DC 13",11,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,11,128.1119995,5.198,15.0080004,10.1020002,2.0050001,12.9759998,1620,7,25.8,14.4,628,139,4.8,17.7,11.3,0
"420","DC 13",12,2005,2091.2001953,7.2560005,19.3070011,13.2810011,2.8230002,16.6130009,12,763.5390015,2.688,10.3719997,6.5290003,0.5,4.6389999,1620,7,25.8,14.4,628,501,3.1,12.9,8,0
"421","DC 13",1,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,1,290.4670105,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,1505,5.2,25.9,14.3,843,236,2.1,11.9,7,0
"422","DC 13",2,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,2,196.5330048,1.3,13.2010002,7.2500005,1.622,10.085,1505,5.2,25.9,14.3,843,213,1.9,15.2,8.6,0
"423","DC 13",3,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,3,438.2619934,-0.232,7.9910002,3.8800001,0.32,4.8179998,1505,5.2,25.9,14.3,843,383,0.4,10.1,5.2,0
"424","DC 13",4,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,4,377.3059998,4.29,14.1660004,9.2270002,0.732,8.4449997,1505,5.2,25.9,14.3,843,289,5.2,16.1,10.6,0
"425","DC 13",5,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,5,45.9459991,9.4429998,23.125,16.2830009,3.039,19.743,1505,5.2,25.9,14.3,843,36,9.5,24.4,16.9,109
"426","DC 13",6,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,6,0,13.5559998,28.3589993,20.9560013,5.013,27.9489994,1505,5.2,25.9,14.3,843,3,13.7,30,21.9,173
"427","DC 13",7,2006,1770.81604,7.0840001,19.210001,13.1460009,3.4690001,17.6170006,7,0,16.8099995,32.8440018,24.8260021,9.3269997,39.9609985,1505,5.2,25.9,14.3,843,1,17.3,34.4,25.9,198
