"","Site_code","Month","WY","ppt_pM","tmax_pM","tmin_pM","tavg_pM","vpdmin_pM","vpdmax_pM","tmax_cM","tmin_cM","tavg_cM","ppt_cM","cmd_cM","ppt_pA","tmax_pA","tmin_pA","tavg_pA","vpdmin_pA","vpdmax_pA","ppt_cA","tmax_cA","tmin_cA","tavg_cA","cmd_cA"
"352","DC 2",1,2012,224.6529999,12.8269997,2.9330001,7.8790002,2.431,10.4130001,14.8,2.1,8.5,274,0,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"353","DC 2",2,2012,90.5680008,12.5880003,1.5140001,7.0510001,1.283,9.3979998,14.2,1.5,7.8,161,0,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"354","DC 2",3,2012,513.3959961,10.8979998,1.876,6.3860002,0.692,6.4640002,12.9,2.9,7.9,486,0,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"355","DC 2",4,2012,257.2780151,16.3460007,5.3360004,10.8410006,1.7589999,11.7869997,18.3,5.4,11.8,224,0,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"356","DC 2",5,2012,18.7390995,23.1079998,8.8760004,15.9920006,3.6989999,21.4540005,24.1,8.9,16.5,28,117,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"357","DC 2",6,2012,52.6339989,25.6849995,12.1730003,18.9280014,5.9050002,25.6070004,27.4,11.5,19.5,40,123,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"358","DC 2",7,2012,1.608,29.9069996,14.3520002,22.1290016,8.3660002,33.6959991,31.6,14.9,23.2,5,180,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"359","DC 2",8,2012,0,32.882,16.3670006,24.6240005,9.974,41.3219986,34.2,16.4,25.3,6,174,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"360","DC 2",9,2012,0,29.8470001,14.4700003,22.1580009,8.165,32.848999,31.7,14.3,23,5,129,113.359758991667,19.9680833166667,7.65691689166667,13.8120005916667,4.03183335833333,18.893166425,130.166666666667,21.7083333333333,7.49166666666667,14.5916666666667,61.0833333333333
"361","DC 2",10,2013,86.6470032,21.4589996,8.9910002,15.2240009,3.4690001,18.5170002,23.3,8.6,16,94,0,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"362","DC 2",11,2013,347.1749878,15.3800001,5.3430004,10.3610001,1.056,9.6359997,16.6,5.3,11,331,0,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"363","DC 2",12,2013,500.2754822,8.9569998,1.9220001,5.4390001,0.567,4.8860002,10.1,0.7,5.4,445,0,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"364","DC 2",1,2013,40.6780014,11.9250002,-0.495,5.7150002,0.896,8.7559996,12.7,-0.1,6.3,65,0,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"365","DC 2",2,2013,23.7380009,12.802,1.197,6.9990005,1.79,10.0059996,14.6,0.6,7.6,67,0,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"366","DC 2",3,2013,97.9169998,16.4689999,4.7880001,10.6280003,1.74,12.151,18.1,4.6,11.3,115,0,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"367","DC 2",4,2013,47.1780014,19.4540005,7.1140003,13.2840004,3.1329999,16.1709995,21.3,6.7,14,73,38,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"368","DC 2",5,2013,28.632,22.0230007,10.1210003,16.0720005,3.9909999,19.1110001,23.7,9.2,16.4,38,103,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"369","DC 2",6,2013,54.5680008,27.1800003,13.2080002,20.1940002,4.362,26.1849995,29,13.2,21.1,41,128,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"370","DC 2",7,2013,0,32.1430016,16.2810001,24.2120018,11.9350004,38.5060005,33.5,17,25.3,1,192,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"371","DC 2",8,2013,2.303,29.5349998,14.3150005,21.9250011,7.2719998,32.6609993,31.1,14.8,22.9,3,160,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"372","DC 2",9,2013,59.3930016,25.2460003,11.8990002,18.5720005,5.3639998,24.0680008,27,12,19.5,59,55,107.375373258333,20.2144169,7.89033353333333,14.0520838833333,3.79791665833333,18.38783325,111,21.75,7.71666666666667,14.7333333333333,56.3333333333333
"373","DC 2",10,2014,15.6610003,21.1919994,7.1400003,14.1650009,4.243,19.7000008,22.8,6.6,14.7,18,63,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"374","DC 2",11,2014,44.2980003,16.3419991,5.7310004,11.0360003,3.7,13.4239998,18.6,4.7,11.7,43,4,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"375","DC 2",12,2014,27.323,12.0459995,0.5560001,6.3000002,3.1670001,10.5839996,14.5,0,7.2,24,13,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"376","DC 2",1,2014,43.8769989,16.2350006,4.8280001,10.5310001,4.8790002,14.3549995,18.1,4.1,11.1,55,0,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"377","DC 2",2,2014,400.5559998,12.1899996,3.7830002,7.9860005,0.997,7.5749998,14.1,3.6,8.8,397,0,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"378","DC 2",3,2014,259.9179993,15.4989996,5.4410005,10.4700003,2.204,11.4040003,16.9,4.9,10.9,260,0,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"379","DC 2",4,2014,87.9380035,18.5799999,6.4260001,12.5030003,2.546,15.0930004,20.3,6,13.1,125,0,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"380","DC 2",5,2014,19.6380005,23.3789997,10.3190002,16.8480015,4.9720001,22.5240002,24.5,9.3,16.9,35,111,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"381","DC 2",6,2014,0,27.9120007,14.1970005,21.0540009,8.5480003,30.8700008,29.7,12.7,21.2,2,173,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"382","DC 2",7,2014,0,32.0610008,18.493,25.2770004,10.717,37.8810005,33.7,17.7,25.7,3,189,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"383","DC 2",8,2014,3.0450001,29.7749996,17.3299999,23.552002,9.2629995,32.4449997,31.2,16,23.6,14,146,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"384","DC 2",9,2014,37.0340004,27.7900009,13.6820011,20.7360001,6.9390001,29.3390007,29.4,13.5,21.5,44,80,78.2740002583333,21.0834166166667,8.99383361666667,15.0381672916667,5.181250025,20.4328335083333,85,22.8166666666667,8.25833333333333,15.5333333333333,64.9166666666667
"385","DC 2",10,2015,50.2039986,22.8859997,10.8140001,16.8490009,5.4000001,21.2240009,24.6,9.4,17,62,21,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"386","DC 2",11,2015,144.8760071,14.9790001,5.71,10.3440008,1.933,10.3839998,17.1,4.9,11,192,0,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"387","DC 2",12,2015,423.743988,9.7620001,4.066,6.9140005,0.313,4.1529999,11.8,3.4,7.6,447,0,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"388","DC 2",1,2015,1.456,14.8739996,4.7900004,9.8320007,2.4820001,11.0360003,16.6,4,10.3,0,42,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"389","DC 2",2,2015,189.5319977,16.7789993,5.7090001,11.243001,1.993,12.0220003,18,5.5,11.7,193,0,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"390","DC 2",3,2015,28.2070007,18.9659996,5.677,12.3210011,1.875,14.3280001,20.5,6.3,13.4,23,66,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"391","DC 2",4,2015,82.9800034,18.4640007,5.9330001,12.1980009,2.5350001,14.8959999,20,5.5,12.8,124,0,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"392","DC 2",5,2015,9.948,20.9899998,8.6960001,14.842001,2.76,16.7269993,22.2,8.4,15.3,14,119,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"393","DC 2",6,2015,7.4489999,29.5849991,14.6260004,22.1050014,9.0480003,33.1100006,31.1,14.7,22.9,17,164,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"394","DC 2",7,2015,2.2609999,30.1280003,17.3540001,23.7410011,9.21,32.9889984,31.3,16.3,23.8,7,170,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"395","DC 2",8,2015,0,30.6469994,16.75,23.6980019,9.9700003,36.0429993,32.2,15.3,23.8,2,167,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"396","DC 2",9,2015,2.691,28.3479996,14.8400011,21.5940018,9.9759998,32.9850006,29.7,13.6,21.7,13,112,78.6123329416667,21.3673331083333,9.58041686666667,15.4734177583333,4.79125005833333,19.9914166166667,91.1666666666667,22.925,8.94166666666667,15.9416666666667,71.75
"397","DC 2",10,2016,27.1420002,23.698,12.1520004,17.9250011,5.3410001,21.5489998,25.4,10.5,18,50,35,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"398","DC 2",11,2016,132.7200012,12.3620005,2.4400001,7.4010005,1.493,8.5629997,14.2,1.8,8,185,0,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"399","DC 2",12,2016,353.493988,7.4260001,0.246,3.8360002,0.224,3.6270001,10,0.4,5.2,304,0,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"400","DC 2",1,2016,431.0209961,10.0430002,2.585,6.3140001,0.387,4.9250002,11.1,2.2,6.7,406,0,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"401","DC 2",2,2016,53.1310005,17.0419998,2.3440001,9.6920004,1.304,13.6120005,17.5,4.2,10.8,108,0,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"402","DC 2",3,2016,468.3129883,14.4069996,3.1110001,8.7580004,0.371,8.7069998,15.4,4.5,10,461,0,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"403","DC 2",4,2016,67.8040009,18.6369991,7.4590006,13.0470009,2.527,13.7880001,20.3,6.7,13.5,111,0,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"404","DC 2",5,2016,44.3639984,21.5720005,9.3950005,15.4830008,2.888,17.507,22.7,9.1,15.9,55,79,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"405","DC 2",6,2016,1.515,28.0760002,14.9210005,21.4980011,8.4130001,30.7110004,29.9,13.2,21.5,3,172,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"406","DC 2",7,2016,0,31.0359993,14.8730011,22.9540005,11.6689997,38.1349983,32.5,15.5,24,1,189,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"407","DC 2",8,2016,0,30.1609993,14.3310003,22.2450008,11.46,35.3849983,32.9,15.3,24.1,1,173,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"408","DC 2",9,2016,0.628,28.0170002,12.0740004,20.0450001,6.776,31.0450001,29.2,12.3,20.8,1,124,131.677664466667,20.2064165666667,7.99425034166667,14.0998339083333,4.40441665833333,18.9628331083333,140.5,21.7583333333333,7.975,14.875,64.3333333333333
"409","DC 2",10,2017,306.5599976,19.1569996,7.9720006,13.5640011,1.962,14.2620001,20,8.1,14.1,293,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"410","DC 2",11,2017,182.4490051,15.6639996,4.5120001,10.0870008,0.99,10.2840004,16.6,4.9,10.7,180,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"411","DC 2",12,2017,308.4060059,9.6040001,0.592,5.098,0.578,5.5900002,11.8,0.9,6.3,329,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"412","DC 2",1,2017,679.3109741,8.6090002,1.187,4.8980002,0.551,4.552,10,0.6,5.3,729,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"413","DC 2",2,2017,641.5889893,10.6709995,3.2820001,6.9760003,0.591,5.1729999,11.6,2.9,7.2,747,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"414","DC 2",3,2017,181.9329987,15.0419998,4.8100004,9.9260006,1.316,10.1569996,16.6,4.3,10.5,238,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"415","DC 2",4,2017,244.0910034,15.1239996,4.8560004,9.9900007,1.2970001,10.1569996,16.7,5.1,10.9,285,0,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"416","DC 2",5,2017,7.3179998,23.4629993,9.3550005,16.4080009,2.9419999,20.0270004,24.4,9.3,16.9,25,120,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"417","DC 2",6,2017,15.816,28.1159992,13.5010004,20.8080006,4.2779999,28.1089993,29.1,13.6,21.4,20,149,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"418","DC 2",7,2017,0,32.605999,16.5790005,24.592001,7.868,38.4379997,33.9,16.8,25.3,1,196,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"419","DC 2",8,2017,0.329,31.7089996,17.4860001,24.597002,7.8579998,33.0159988,33.6,17.4,25.5,3,170,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"420","DC 2",9,2017,5.6560001,27.4020004,13.5570011,20.4790001,6.0279999,28.3869991,28.1,13.3,20.7,15,101,214.454831166667,19.763916325,8.14075035,13.9519173583333,3.0215833,17.3459997583333,238.75,21.0333333333333,8.1,14.5666666666667,61.3333333333333
"421","DC 2",10,2018,23.0450001,23.4029999,8.0550003,15.729001,4.5619998,22.7749996,24.8,7.9,16.4,58,28,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"422","DC 2",11,2018,345.7850037,14.1090002,5.539,9.8240004,0.575,7.0840001,15.2,5.3,10.2,366,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"423","DC 2",12,2018,23.6210003,13.6280003,3.3710001,8.4990005,2.744,11.3140001,15.7,2.7,9.2,41,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"424","DC 2",1,2018,247.7810059,12.6199999,4.473,8.5460005,1.301,7.724,13.3,3,8.1,363,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"425","DC 2",2,2018,26.8120003,13.9750004,2.421,8.198,2.8069999,12.2539997,8,-1.2,3.4,698,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"426","DC 2",3,2018,436.7319946,11.8780003,2.552,7.2150002,1.012,7.7820001,13.4,2.7,8.1,246,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"427","DC 2",4,2018,145.9060059,17.3549995,6.1220002,11.7380009,2.125,12.9610004,20.1,7.2,13.6,109,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"428","DC 2",5,2018,14.1440001,22.4249992,9.1940002,15.809001,1.7359999,16.8309994,20,7.1,13.5,182,0,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"429","DC 2",6,2018,0,28.0949993,12.625001,20.3600006,4.9000001,28.7169991,29.2,13.1,21.2,7,164,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"430","DC 2",7,2018,0,33.1119995,17.9000015,25.5060005,8.368,38.3139992,31.5,15.4,23.5,1,182,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"431","DC 2",8,2018,0,31.1809998,15.5980005,23.3890018,8.8909998,36.6310005,32.7,16,24.4,1,170,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"432","DC 2",9,2018,0,28.4720001,12.8780003,20.6750011,7.848,31.9319992,27.1,11.6,19.3,72,43,105.318834241667,20.8544165333333,8.39400034166667,14.6240007083333,3.90574995833333,19.5265831166667,178.666666666667,20.9166666666667,7.56666666666667,14.2416666666667,48.9166666666667
"433","DC 2",10,2019,20.9290009,22.4419994,9.5530005,15.9970007,4.9460001,20.3649998,22.7,6.3,14.5,7,73,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"434","DC 2",11,2019,221.125,16.7950001,5.8260002,11.3100004,3.631,13.7530003,19.4,4.8,12.1,64,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"435","DC 2",12,2019,120.3550034,9.9519997,2.2240002,6.0870004,0.581,6.2670002,11.1,2.1,6.6,344,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"436","DC 2",1,2019,360.8049927,11.0469999,2.404,6.7250004,0.946,6.8150001,13.3,3,8.1,363,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"437","DC 2",2,2019,610.223999,5.7490001,-0.275,2.7370002,0.314,2.95,8,-1.2,3.4,698,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"438","DC 2",3,2019,211.3130035,11.5570002,3.1510003,7.3540006,1.021,6.8119998,13.4,2.7,8.1,246,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"439","DC 2",4,2019,85.8349991,18.8920002,6.803,12.8474998,2.053,14.0649996,20.1,7.2,13.6,109,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"440","DC 2",5,2019,154.5709991,18.1280003,7.4559999,12.7919998,1.773,12.2390003,20,7.1,13.5,182,0,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"441","DC 2",6,2019,20.7010002,27.9979992,13.4469995,20.7223988,4.506,26.1580009,29.2,13.1,21.2,7,164,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"442","DC 2",7,2019,0,29.9720001,14.9619999,22.4669991,5.2119999,30.6860008,31.5,15.4,23.5,1,182,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"443","DC 2",8,2019,0,30.8379993,17.0799999,23.9588985,8.7790003,34.0219994,32.7,16,24.4,1,170,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"444","DC 2",9,2019,68.1650009,25.5750008,11.7989998,18.6870003,4.1950002,23.7999992,27.1,11.6,19.3,72,43,156.168583233333,19.0787499416667,7.86916668333333,13.47373325,3.163083375,16.4943333666667,174.5,20.7083333333333,7.34166666666667,14.025,52.6666666666667
"445","DC 2",10,2020,1.323,22.0830002,6.4130001,14.2479992,3.599,21.8269997,22.7,6.3,14.5,7,73,72.3306670166667,20.940666675,8.15608338333333,14.5482829833333,3.937916625,20.089666725,83.0833333333333,22.2083333333333,7.96666666666667,15.0916666666667,68.8333333333333
"446","DC 2",11,2020,38.8300018,18.7129993,5.1620002,11.9373999,3.0409999,16.7590008,19.4,4.8,12.1,64,0,72.3306670166667,20.940666675,8.15608338333333,14.5482829833333,3.937916625,20.089666725,83.0833333333333,22.2083333333333,7.96666666666667,15.0916666666667,68.8333333333333
"447","DC 2",12,2020,294.677002,10.6739998,2.165,6.4193997,0.449,5.8119998,11.1,2.1,6.6,344,0,72.3306670166667,20.940666675,8.15608338333333,14.5482829833333,3.937916625,20.089666725,83.0833333333333,22.2083333333333,7.96666666666667,15.0916666666667,68.8333333333333
"448","DC 2",1,2020,123.6529999,9.8529997,2.138,5.9950004,0.487,5.8790002,12.5,2,7.3,152,0,72.3306670166667,20.940666675,8.15608338333333,14.5482829833333,3.937916625,20.089666725,83.0833333333333,22.2083333333333,7.96666666666667,15.0916666666667,68.8333333333333
"449","DC 2",2,2020,0,16.4629993,2.214,9.3383999,3.056,13.8149996,17.2,2.4,9.8,0,54,72.3306670166667,20.940666675,8.15608338333333,14.5482829833333,3.937916625,20.089666725,83.0833333333333,22.2083333333333,7.96666666666667,15.0916666666667,68.8333333333333
